Position (m),GS Temperature (C)
1446,4.424e-05
1447,4.395e-05
1448,4.367e-05
1449,4.339e-05
1450,4.31e-05
1451,4.283e-05
1452,4.255e-05
1453,4.227e-05
1454,4.2e-05
1455,4.173e-05
1456,4.146e-05
1457,4.119e-05
1458,4.092e-05
1459,4.066e-05
1460,4.039e-05
1461,4.013e-05
1462,3.987e-05
1463,3.961e-05
1464,3.936e-05
1465,3.91e-05
1466,3.885e-05
1467,3.86e-05
1468,3.835e-05
1469,3.81e-05
1470,3.785e-05
1471,3.761e-05
1472,3.736e-05
1473,3.712e-05
1474,3.688e-05
1475,3.664e-05
1476,3.641e-05
1477,3.617e-05
1478,3.594e-05
1479,3.57e-05
1480,3.547e-05
1481,3.524e-05
1482,3.501e-05
1483,3.479e-05
1484,3.456e-05
1485,3.434e-05
1486,3.412e-05
1487,3.39e-05
1488,3.368e-05
1489,3.346e-05
1490,3.324e-05
1491,3.303e-05
1492,3.281e-05
1493,3.26e-05
1494,3.239e-05
1495,3.218e-05
1496,3.197e-05
1497,3.176e-05
1498,3.156e-05
1499,3.135e-05
1500,3.115e-05
1501,3.095e-05
1502,3.075e-05
1503,3.055e-05
1504,3.035e-05
1505,3.016e-05
1506,2.996e-05
1507,2.977e-05
1508,2.957e-05
1509,2.938e-05
1510,2.919e-05
1511,2.9e-05
1512,2.881e-05
1513,2.863e-05
1514,2.844e-05
1515,2.826e-05
1516,2.808e-05
1517,2.789e-05
1518,2.771e-05
1519,2.753e-05
1520,2.736e-05
1521,2.718e-05
1522,2.7e-05
1523,2.683e-05
1524,2.665e-05
1525,2.648e-05
1526,2.631e-05
1527,2.614e-05
1528,2.597e-05
1529,2.58e-05
1530,2.564e-05
1531,2.547e-05
1532,2.53e-05
1533,2.514e-05
1534,2.498e-05
1535,2.482e-05
1536,2.466e-05
1537,2.45e-05
1538,2.434e-05
1539,2.418e-05
1540,2.402e-05
1541,2.387e-05
1542,2.371e-05
1543,2.356e-05
1544,2.341e-05
1545,2.326e-05
1546,2.31e-05
1547,2.295e-05
1548,2.281e-05
1549,2.266e-05
1550,2.251e-05
1551,2.237e-05
1552,2.222e-05
1553,2.208e-05
1554,2.193e-05
1555,2.179e-05
1556,2.165e-05
1557,2.151e-05
1558,2.137e-05
1559,2.123e-05
1560,2.11e-05
1561,2.096e-05
1562,2.082e-05
1563,2.069e-05
1564,2.055e-05
1565,2.042e-05
1566,2.029e-05
1567,2.016e-05
1568,2.003e-05
1569,1.99e-05
1570,1.977e-05
1571,1.964e-05
1572,1.951e-05
1573,1.939e-05
1574,1.926e-05
1575,1.914e-05
1576,1.901e-05
1577,1.889e-05
1578,1.877e-05
1579,1.865e-05
1580,1.853e-05
1581,1.841e-05
1582,1.829e-05
1583,1.817e-05
1584,1.805e-05
1585,1.793e-05
1586,1.782e-05
1587,1.77e-05
1588,1.759e-05
1589,1.747e-05
1590,1.736e-05
1591,1.725e-05
1592,1.714e-05
1593,1.703e-05
1594,1.692e-05
1595,1.681e-05
1596,1.67e-05
1597,1.659e-05
1598,1.648e-05
1599,1.637e-05
1600,1.627e-05
1601,1.616e-05
1602,1.606e-05
1603,1.595e-05
1604,1.585e-05
1605,1.575e-05
1606,1.565e-05
1607,1.555e-05
1608,1.544e-05
1609,1.534e-05
1610,1.525e-05
1611,1.515e-05
1612,1.505e-05
1613,1.495e-05
1614,1.485e-05
1615,1.476e-05
1616,1.466e-05
1617,1.457e-05
1618,1.447e-05
1619,1.438e-05
1620,1.429e-05
